run_id,segment_id,status,frame_start,frame_end,attributed_frame_count,arc_world_xyz_frames,failclosed_emitted_frames,failclosed_suppressed_frames,failclosed_trusted,failclosed_reasons,inlier_count,outlier_count,max_reprojection_error_px,physical_sanity_status,physical_sanity_violations
wolverine_w7,0,fit_bvp_fallback,0,12,12,12,0,12,False,spatial_sanity_violation,8,4,14.710697,,outside_court_volume
wolverine_w7,1,fit,12,25,14,14,14,0,True,,14,0,2.307047,,
wolverine_w7,2,fit_bvp_fallback,25,157,131,131,0,131,False,insufficient_inliers;outliers_exceed_inliers;max_reprojection_error_above_bound;spatial_sanity_violation,1,90,3585.05804,,apex_height_implausible
wolverine_w7,3,fit_bvp_fallback,157,216,59,59,0,59,False,insufficient_inliers;outliers_exceed_inliers;max_reprojection_error_above_bound,0,52,620.486884,,
wolverine_w7,4,fit_bvp_fallback,216,223,8,8,0,8,False,spatial_sanity_violation,7,0,4.629083,,apex_height_implausible
wolverine_w7,5,fit,223,247,23,23,23,0,True,,23,1,16.221225,,
wolverine_w7,6,fit_bvp_fallback,247,254,8,8,0,8,False,insufficient_inliers;outliers_exceed_inliers,1,5,11.291125,,initial_speed_outside_plausible_range_mps
wolverine_w7,7,fit_bvp_fallback,254,266,11,11,11,0,True,,10,0,12.942355,,initial_speed_outside_plausible_range_mps
wolverine_w7,8,fit_bvp_fallback,266,272,7,7,0,7,False,spatial_sanity_violation,5,0,4.181891,,net_clearance_below_slack
wolverine_w7,9,fit_bvp_fallback,272,289,16,16,16,0,True,,16,0,1.483631,,initial_speed_outside_plausible_range_mps
wolverine_w7,10,fit_bvp_fallback,289,299,11,11,11,0,True,,11,0,2.356244,,initial_speed_outside_plausible_range_mps
zwcth45s_r1,0,fit_bvp_fallback,126,580,454,454,0,454,False,insufficient_inliers;outliers_exceed_inliers;max_reprojection_error_above_bound;spatial_sanity_violation,0,147,3263.319806,,initial_speed_outside_plausible_range_mps;apex_height_implausible;outside_court_volume
zwcth45s_r1,1,fit_bvp_fallback,580,593,14,14,14,0,True,,11,3,17.814433,,initial_speed_outside_plausible_range_mps
zwcth45s_r1,2,fit_bvp_fallback,593,716,123,123,0,123,False,insufficient_inliers;outliers_exceed_inliers;max_reprojection_error_above_bound;spatial_sanity_violation,2,28,1416.70149,,apex_height_implausible
zwcth45s_r1,3,fit_bvp_fallback,716,932,216,216,0,216,False,insufficient_inliers;outliers_exceed_inliers;max_reprojection_error_above_bound;spatial_sanity_violation,0,153,5489.351585,,initial_speed_outside_plausible_range_mps;apex_height_implausible
zwcth45s_r1,4,fit_bvp_fallback,932,1164,231,231,0,231,False,insufficient_inliers;outliers_exceed_inliers;max_reprojection_error_above_bound;spatial_sanity_violation,1,43,5799.442769,,initial_speed_outside_plausible_range_mps;apex_height_implausible
zwcth45s_r1,5,fit_bvp_fallback,1164,1292,128,128,0,128,False,outliers_exceed_inliers;spatial_sanity_violation,4,18,17.250161,,apex_height_implausible;outside_court_volume
zwcth45s_r1,6,fit,1292,1327,35,35,35,0,True,,19,3,16.873368,,
zwcth45s_r1,7,fit_weak,1327,1335,9,9,9,0,True,,8,0,1.771493,,
zwcth45s_r2,0,fit_bvp_fallback,126,580,454,454,0,454,False,insufficient_inliers;outliers_exceed_inliers;max_reprojection_error_above_bound;spatial_sanity_violation,0,147,3263.319806,,initial_speed_outside_plausible_range_mps;apex_height_implausible;outside_court_volume
zwcth45s_r2,1,fit_bvp_fallback,580,593,14,14,14,0,True,,11,3,17.814433,,initial_speed_outside_plausible_range_mps
zwcth45s_r2,2,fit_bvp_fallback,593,716,123,123,0,123,False,insufficient_inliers;outliers_exceed_inliers;max_reprojection_error_above_bound;spatial_sanity_violation,2,28,1416.70149,,apex_height_implausible
zwcth45s_r2,3,fit_bvp_fallback,716,932,216,216,0,216,False,insufficient_inliers;outliers_exceed_inliers;max_reprojection_error_above_bound;spatial_sanity_violation,0,153,5489.351585,,initial_speed_outside_plausible_range_mps;apex_height_implausible
zwcth45s_r2,4,fit_bvp_fallback,932,1164,231,231,0,231,False,insufficient_inliers;outliers_exceed_inliers;max_reprojection_error_above_bound;spatial_sanity_violation,1,43,5799.442769,,initial_speed_outside_plausible_range_mps;apex_height_implausible
zwcth45s_r2,5,fit_bvp_fallback,1164,1292,128,128,0,128,False,outliers_exceed_inliers;spatial_sanity_violation,4,18,17.250161,,apex_height_implausible;outside_court_volume
zwcth45s_r2,6,fit,1292,1327,35,35,35,0,True,,19,3,16.873368,,
zwcth45s_r2,7,fit_weak,1327,1335,9,9,9,0,True,,8,0,1.771493,,
