run_id,player_id,total_clip_frames,tracked_frames,tracked_pct_clip,body_scheduled_tracked_frames,mesh_frames,mesh_pct_clip,mesh_pct_tracked,skeleton_frames,skeleton_pct_clip,skeleton_pct_tracked,paddle_frames,paddle_pct_clip,paddle_pct_tracked
wolverine_w7,19,300,158,52.667,158,158,52.667,100.0,158,52.667,100.0,158,52.667,100.0
wolverine_w7,20,300,151,50.333,151,151,50.333,100.0,151,50.333,100.0,151,50.333,100.0
wolverine_w7,21,300,159,53.0,159,159,53.0,100.0,159,53.0,100.0,159,53.0,100.0
wolverine_w7,22,300,237,79.0,237,237,79.0,100.0,237,79.0,100.0,237,79.0,100.0
zwcth45s_r1,1,1350,608,45.037,92,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
zwcth45s_r1,2,1350,901,66.741,137,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
zwcth45s_r1,3,1350,843,62.444,127,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
zwcth45s_r1,29,1350,451,33.407,70,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
zwcth45s_r2,1,1350,608,45.037,92,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
zwcth45s_r2,2,1350,901,66.741,137,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
zwcth45s_r2,3,1350,843,62.444,127,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
zwcth45s_r2,29,1350,451,33.407,70,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
